Municipality,CBS code,Province,Inhabitants,Surface Area in sq km
Alphen-Chaam,1723.0,Noord-Brabant,10203.0,93.04
Altena,1959.0,Noord-Brabant,55967.0,200.63
Asten,743.0,Noord-Brabant,16721.0,70.17
Baarle-Nassau,744.0,Noord-Brabant,6859.0,76.14
Bergeijk,1724.0,Noord-Brabant,18635.0,101.0
Bergen op Zoom,748.0,Noord-Brabant,67496.0,79.96
Bernheze,1721.0,Noord-Brabant,31240.0,89.73
Best,753.0,Noord-Brabant,29988.0,34.3
Bladel,1728.0,Noord-Brabant,20390.0,75.33
Boekel,755.0,Noord-Brabant,10785.0,34.51
Boxmeer,756.0,Noord-Brabant,29365.0,111.44
Boxtel,757.0,Noord-Brabant,30801.0,63.73
Breda,758.0,Noord-Brabant,184069.0,125.74
Cranendonck,1706.0,Noord-Brabant,21138.0,76.4
Cuijk,1684.0,Noord-Brabant,25130.0,51.16
Deurne,762.0,Noord-Brabant,32471.0,116.93
Dongen,766.0,Noord-Brabant,26222.0,29.24
Drimmelen,1719.0,Noord-Brabant,27272.0,95.18
Eersel,770.0,Noord-Brabant,19313.0,82.46
Eindhoven,772.0,Noord-Brabant,234394.0,87.66
Etten-Leur,777.0,Noord-Brabant,43878.0,55.3
Geertruidenberg,779.0,Noord-Brabant,21544.0,26.63
Geldrop-Mierlo,1771.0,Noord-Brabant,39726.0,31.01
Gemert-Bakel,1652.0,Noord-Brabant,30723.0,122.14
Gilze en Rijen,784.0,Noord-Brabant,26431.0,65.38
Goirle,785.0,Noord-Brabant,23904.0,42.99
Grave,786.0,Noord-Brabant,12436.0,27.18
Halderberge,1655.0,Noord-Brabant,30284.0,74.47
Heeze-Leende,1658.0,Noord-Brabant,16152.0,104.02
Helmond,794.0,Noord-Brabant,92423.0,53.18
's-Hertogenbosch,796.0,Noord-Brabant,155111.0,109.99
Heusden,797.0,Noord-Brabant,44692.0,78.88
Hilvarenbeek,798.0,Noord-Brabant,15518.0,94.85
Laarbeek,1659.0,Noord-Brabant,22523.0,55.35
Landerd,1685.0,Noord-Brabant,15730.0,70.35
Loon op Zand,809.0,Noord-Brabant,23408.0,49.94
Meierijstad,1948.0,Noord-Brabant,81194.0,184.09
Mill en Sint Hubert,815.0,Noord-Brabant,10939.0,52.23
Moerdijk,1709.0,Noord-Brabant,37129.0,159.15
Nuenen c.a.,820.0,Noord-Brabant,23383.0,33.71
Oirschot,823.0,Noord-Brabant,18714.0,101.78
Oisterwijk,824.0,Noord-Brabant,26245.0,63.84
Oosterhout,826.0,Noord-Brabant,55982.0,71.47
Oss,828.0,Noord-Brabant,91915.0,163.16
Reusel-De Mierden,1667.0,Noord-Brabant,13112.0,77.88
Roosendaal,1674.0,Noord-Brabant,77251.0,106.5
Rucphen,840.0,Noord-Brabant,22878.0,64.41
Sint Anthonis,1702.0,Noord-Brabant,11664.0,99.27
Sint-Michielsgestel,845.0,Noord-Brabant,29208.0,58.38
Someren,847.0,Noord-Brabant,19368.0,80.27
Son en Breugel,848.0,Noord-Brabant,17322.0,25.95
Steenbergen,851.0,Noord-Brabant,24416.0,146.43
Tilburg,855.0,Noord-Brabant,219789.0,116.17
Uden,856.0,Noord-Brabant,42119.0,67.0
Valkenswaard,858.0,Noord-Brabant,31193.0,54.92
Veldhoven,861.0,Noord-Brabant,45466.0,31.69
Vught,865.0,Noord-Brabant,26558.0,33.75
Waalre,866.0,Noord-Brabant,17456.0,22.39
Waalwijk,867.0,Noord-Brabant,48637.0,64.58
Woensdrecht,873.0,Noord-Brabant,21876.0,91.66
Zundert,879.0,Noord-Brabant,21829.0,120.65
