Area,Years,Revenue
United States and Canada,Q1 - 2019,2256851000
"Europe,  Middle East and Africa",Q1 - 2019,1233379000
Latin America,Q1 - 2019,630472000
Asia-Pacific,Q1 - 2019,319602000
United States and Canada,Q2 - 2019,2501199000
"Europe,  Middle East and Africa",Q2 - 2019,1319087000
Latin America,Q2 - 2019,677136000
Asia-Pacific,Q2 - 2019,349494000
United States and Canada,Q3 - 2019,2621250000
"Europe,  Middle East and Africa",Q3 - 2019,1428040000
Latin America,Q3 - 2019,741434000
Asia-Pacific,Q3 - 2019,382304000
United States and Canada,Q4 - 2019,2671908000
"Europe,  Middle East and Africa",Q4 - 2019,1562561000
Latin America,Q4 - 2019,746392000
Asia-Pacific,Q4 - 2019,418121000
United States and Canada,Q1 - 2020,2702776000
"Europe,  Middle East and Africa",Q1 - 2020,1723474000
Latin America,Q1 - 2020,793453000
Asia-Pacific,Q1 - 2020,483660000
United States and Canada,Q2 - 2020,2839670000
"Europe,  Middle East and Africa",Q2 - 2020,1892537000
Latin America,Q2 - 2020,785368000
Asia-Pacific,Q2 - 2020,569140000
